,CASEOID,ACTIVITYOID,TIMESTAMP,Variant,Variant index,CASE_ID,Activity
0,2,1,2012-04-03 16:55:38,Variant 1,1,2,1
1,2,8,2012-04-03 16:55:53,Variant 1,1,2,8
2,2,6,2012-04-05 17:15:52,Variant 1,1,2,6
3,5,1,2012-04-03 21:08:32,Variant 8,8,5,1
4,5,8,2012-04-03 21:45:33,Variant 8,8,5,8
5,5,6,2012-04-03 21:47:22,Variant 8,8,5,6
6,5,8,2012-04-03 22:15:02,Variant 8,8,5,8
7,5,6,2012-04-04 00:07:28,Variant 8,8,5,6
8,6,1,2011-10-25 23:13:58,Variant 1,1,6,1
9,6,8,2011-10-25 23:58:55,Variant 1,1,6,8
10,6,6,2011-10-26 17:54:46,Variant 1,1,6,6
11,11,1,2011-12-22 00:24:41,Variant 1,1,11,1
12,11,8,2011-12-22 00:25:34,Variant 1,1,11,8
13,11,6,2011-12-22 18:55:43,Variant 1,1,11,6
14,14,1,2011-07-05 21:47:08,Variant 1,1,14,1
15,14,8,2011-07-05 21:47:22,Variant 1,1,14,8
16,14,6,2011-07-05 21:52:37,Variant 1,1,14,6
17,16,1,2012-02-22 23:16:52,Variant 10,10,16,1
18,16,8,2012-02-23 01:14:07,Variant 10,10,16,8
19,16,8,2012-02-23 01:23:57,Variant 10,10,16,8
20,16,6,2012-02-23 18:47:38,Variant 10,10,16,6
21,17,1,2011-10-14 15:10:47,Variant 1,1,17,1
22,17,8,2011-11-03 01:17:52,Variant 1,1,17,8
23,17,6,2011-11-09 22:31:37,Variant 1,1,17,6
24,21,1,2011-01-15 00:15:21,Variant 1,1,21,1
25,21,8,2011-01-27 17:06:37,Variant 1,1,21,8
26,21,6,2011-01-27 19:19:15,Variant 1,1,21,6
27,26,1,2011-03-31 15:28:47,Variant 3,3,26,1
28,26,8,2011-03-31 15:31:59,Variant 3,3,26,8
29,26,9,2011-03-31 16:39:41,Variant 3,3,26,9
30,26,8,2011-03-31 19:00:28,Variant 3,3,26,8
31,26,6,2011-03-31 19:00:41,Variant 3,3,26,6
32,27,1,2011-11-24 23:02:16,Variant 1,1,27,1
33,27,8,2011-11-24 23:02:35,Variant 1,1,27,8
34,27,6,2011-12-12 18:04:47,Variant 1,1,27,6
35,30,1,2011-01-21 18:47:20,Variant 1,1,30,1
36,30,8,2011-02-07 18:19:45,Variant 1,1,30,8
37,30,6,2011-02-10 18:01:20,Variant 1,1,30,6
38,32,1,2011-04-27 15:38:44,Variant 1,1,32,1
39,32,8,2011-04-27 20:46:13,Variant 1,1,32,8
40,32,6,2011-04-28 16:18:08,Variant 1,1,32,6
41,35,1,2012-01-18 17:15:30,Variant 4,4,35,1
42,35,6,2012-01-18 18:46:37,Variant 4,4,35,6
43,36,1,2011-06-29 18:06:48,Variant 1,1,36,1
44,36,8,2011-06-30 20:58:23,Variant 1,1,36,8
45,36,6,2011-07-05 15:32:43,Variant 1,1,36,6
46,37,1,2011-02-10 20:13:07,Variant 50,50,37,1
47,37,8,2011-02-10 20:13:33,Variant 50,50,37,8
48,37,6,2011-02-11 00:20:02,Variant 50,50,37,6
49,37,6,2011-03-02 22:23:58,Variant 50,50,37,6
50,37,8,2011-03-02 22:24:07,Variant 50,50,37,8
51,37,9,2011-03-03 00:27:52,Variant 50,50,37,9
52,37,8,2011-03-04 18:37:50,Variant 50,50,37,8
53,37,6,2011-03-04 18:37:55,Variant 50,50,37,6
54,38,1,2012-03-20 16:57:45,Variant 1,1,38,1
55,38,8,2012-03-20 16:58:15,Variant 1,1,38,8
56,38,6,2012-03-20 17:18:56,Variant 1,1,38,6
57,42,1,2011-06-16 20:23:39,Variant 1,1,42,1
58,42,8,2011-06-16 20:51:05,Variant 1,1,42,8
59,42,6,2011-06-16 21:39:51,Variant 1,1,42,6
60,43,1,2012-04-10 16:56:32,Variant 1,1,43,1
61,43,8,2012-04-10 17:27:27,Variant 1,1,43,8
62,43,6,2012-04-10 18:53:28,Variant 1,1,43,6
63,45,1,2012-01-20 23:08:14,Variant 1,1,45,1
64,45,8,2012-01-25 20:46:19,Variant 1,1,45,8
65,45,6,2012-03-02 19:40:59,Variant 1,1,45,6
66,47,1,2011-05-25 17:48:18,Variant 1,1,47,1
67,47,8,2011-05-25 17:48:43,Variant 1,1,47,8
68,47,6,2011-05-30 23:04:34,Variant 1,1,47,6
69,49,1,2011-11-25 23:33:54,Variant 2,2,49,1
70,49,8,2011-11-25 23:47:48,Variant 2,2,49,8
71,49,9,2011-11-29 23:47:35,Variant 2,2,49,9
72,49,6,2011-12-03 01:25:57,Variant 2,2,49,6
73,50,1,2012-01-16 19:53:01,Variant 6,6,50,1
74,50,8,2012-01-16 19:59:51,Variant 6,6,50,8
75,50,6,2012-01-17 01:37:54,Variant 6,6,50,6
76,50,6,2012-01-17 01:37:55,Variant 6,6,50,6
77,51,1,2012-06-13 21:55:36,Variant 2,2,51,1
78,51,8,2012-06-14 15:07:06,Variant 2,2,51,8
79,51,9,2012-06-15 15:16:27,Variant 2,2,51,9
81,55,1,2011-10-26 23:51:42,Variant 2,2,55,1
82,55,8,2011-11-01 00:19:03,Variant 2,2,55,8
83,55,9,2011-11-07 17:44:52,Variant 2,2,55,9
84,55,6,2011-11-21 17:21:23,Variant 2,2,55,6
85,56,1,2012-01-30 20:32:58,Variant 4,4,56,1
86,56,6,2012-01-30 20:33:23,Variant 4,4,56,6
87,59,1,2012-03-28 20:28:37,Variant 6,6,59,1
88,59,8,2012-03-28 20:28:47,Variant 6,6,59,8
89,59,6,2012-03-28 23:32:57,Variant 6,6,59,6
90,59,6,2012-03-28 23:32:57,Variant 6,6,59,6
91,60,1,2011-04-06 23:35:49,Variant 3,3,60,1
92,60,8,2011-04-06 23:36:04,Variant 3,3,60,8
93,60,9,2011-04-07 23:41:23,Variant 3,3,60,9
94,60,8,2011-04-13 16:49:14,Variant 3,3,60,8
95,60,6,2011-04-13 16:49:22,Variant 3,3,60,6
96,61,1,2011-09-16 15:04:39,Variant 1,1,61,1
97,61,8,2011-09-16 15:18:12,Variant 1,1,61,8
98,61,6,2011-09-16 23:04:46,Variant 1,1,61,6
99,62,1,2012-05-28 23:16:47,Variant 4,4,62,1
100,62,6,2012-05-28 23:18:27,Variant 4,4,62,6
101,64,1,2011-04-14 23:54:28,Variant 51,51,64,1
102,64,1,2011-04-14 23:54:46,Variant 51,51,64,1
103,64,9,2011-04-15 18:41:19,Variant 51,51,64,9
104,64,8,2011-04-27 18:30:04,Variant 51,51,64,8
105,64,9,2011-04-27 18:30:13,Variant 51,51,64,9
106,64,8,2011-05-06 17:42:13,Variant 51,51,64,8
107,64,6,2011-05-06 17:42:28,Variant 51,51,64,6
108,66,1,2012-06-26 16:46:53,Variant 1,1,66,1
109,66,8,2012-06-26 16:47:39,Variant 1,1,66,8
110,66,6,2012-06-26 21:05:58,Variant 1,1,66,6
112,67,8,2011-01-11 17:40:08,Variant 1,1,67,8
113,67,6,2011-01-13 20:45:18,Variant 1,1,67,6
114,68,1,2012-04-11 22:09:22,Variant 1,1,68,1
115,68,8,2012-04-11 22:09:45,Variant 1,1,68,8
116,68,6,2012-04-12 18:31:37,Variant 1,1,68,6
117,70,1,2011-06-07 15:34:53,Variant 2,2,70,1
118,70,8,2011-06-07 15:35:14,Variant 2,2,70,8
119,70,9,2011-07-08 16:44:58,Variant 2,2,70,9
