CASEOID,ACTIVITYOID,TIMESTAMP,Variant,Variant index
2,1,2012/04/03 16:55:38.000,Variant 1,1
2,8,2012/04/03 16:55:53.000,Variant 1,1
2,6,2012/04/05 17:15:52.000,Variant 1,1
5,1,2012/04/03 21:08:32.000,Variant 8,8
5,8,2012/04/03 21:45:33.000,Variant 8,8
5,6,2012/04/03 21:47:22.000,Variant 8,8
5,8,2012/04/03 22:15:02.000,Variant 8,8
5,6,2012/04/04 00:07:28.000,Variant 8,8
6,1,2011/10/25 23:13:58.000,Variant 1,1
6,8,2011/10/25 23:58:55.000,Variant 1,1
6,6,2011/10/26 17:54:46.000,Variant 1,1
11,1,2011/12/22 00:24:41.000,Variant 1,1
11,8,2011/12/22 00:25:34.000,Variant 1,1
11,6,2011/12/22 18:55:43.000,Variant 1,1
14,1,2011/07/05 21:47:08.000,Variant 1,1
14,8,2011/07/05 21:47:22.000,Variant 1,1
14,6,2011/07/05 21:52:37.000,Variant 1,1
16,1,2012/02/22 23:16:52.000,Variant 10,10
16,8,2012/02/23 01:14:07.000,Variant 10,10
16,8,2012/02/23 01:23:57.000,Variant 10,10
16,6,2012/02/23 18:47:38.000,Variant 10,10
17,1,2011/10/14 15:10:47.000,Variant 1,1
17,8,2011/11/03 01:17:52.000,Variant 1,1
17,6,2011/11/09 22:31:37.000,Variant 1,1
21,1,2011/01/15 00:15:21.000,Variant 1,1
21,8,2011/01/27 17:06:37.000,Variant 1,1
21,6,2011/01/27 19:19:15.000,Variant 1,1
26,1,2011/03/31 15:28:47.000,Variant 3,3
26,8,2011/03/31 15:31:59.000,Variant 3,3
26,9,2011/03/31 16:39:41.000,Variant 3,3
26,8,2011/03/31 19:00:28.000,Variant 3,3
26,6,2011/03/31 19:00:41.000,Variant 3,3
27,1,2011/11/24 23:02:16.000,Variant 1,1
27,8,2011/11/24 23:02:35.000,Variant 1,1
27,6,2011/12/12 18:04:47.000,Variant 1,1
30,1,2011/01/21 18:47:20.000,Variant 1,1
30,8,2011/02/07 18:19:45.000,Variant 1,1
30,6,2011/02/10 18:01:20.000,Variant 1,1
32,1,2011/04/27 15:38:44.000,Variant 1,1
32,8,2011/04/27 20:46:13.000,Variant 1,1
32,6,2011/04/28 16:18:08.000,Variant 1,1
35,1,2012/01/18 17:15:30.000,Variant 4,4
35,6,2012/01/18 18:46:37.000,Variant 4,4
36,1,2011/06/29 18:06:48.000,Variant 1,1
36,8,2011/06/30 20:58:23.000,Variant 1,1
36,6,2011/07/05 15:32:43.000,Variant 1,1
37,1,2011/02/10 20:13:07.000,Variant 50,50
37,8,2011/02/10 20:13:33.000,Variant 50,50
37,6,2011/02/11 00:20:02.000,Variant 50,50
37,6,2011/03/02 22:23:58.000,Variant 50,50
37,8,2011/03/02 22:24:07.000,Variant 50,50
37,9,2011/03/03 00:27:52.000,Variant 50,50
37,8,2011/03/04 18:37:50.000,Variant 50,50
37,6,2011/03/04 18:37:55.000,Variant 50,50
38,1,2012/03/20 16:57:45.000,Variant 1,1
38,8,2012/03/20 16:58:15.000,Variant 1,1
38,6,2012/03/20 17:18:56.000,Variant 1,1
42,1,2011/06/16 20:23:39.000,Variant 1,1
42,8,2011/06/16 20:51:05.000,Variant 1,1
42,6,2011/06/16 21:39:51.000,Variant 1,1
43,1,2012/04/10 16:56:32.000,Variant 1,1
43,8,2012/04/10 17:27:27.000,Variant 1,1
43,6,2012/04/10 18:53:28.000,Variant 1,1
45,1,2012/01/20 23:08:14.000,Variant 1,1
45,8,2012/01/25 20:46:19.000,Variant 1,1
45,6,2012/03/02 19:40:59.000,Variant 1,1
47,1,2011/05/25 17:48:18.000,Variant 1,1
47,8,2011/05/25 17:48:43.000,Variant 1,1
47,6,2011/05/30 23:04:34.000,Variant 1,1
49,1,2011/11/25 23:33:54.000,Variant 2,2
49,8,2011/11/25 23:47:48.000,Variant 2,2
49,9,2011/11/29 23:47:35.000,Variant 2,2
49,6,2011/12/03 01:25:57.000,Variant 2,2
50,1,2012/01/16 19:53:01.000,Variant 6,6
50,8,2012/01/16 19:59:51.000,Variant 6,6
50,6,2012/01/17 01:37:54.000,Variant 6,6
50,6,2012/01/17 01:37:55.000,Variant 6,6
51,1,2012/06/13 21:55:36.000,Variant 2,2
51,8,2012/06/14 15:07:06.000,Variant 2,2
51,9,2012/06/15 15:16:27.000,Variant 2,2
51,6,2012/07/02 17:41:04.000,Variant 2,2
55,1,2011/10/26 23:51:42.000,Variant 2,2
55,8,2011/11/01 00:19:03.000,Variant 2,2
55,9,2011/11/07 17:44:52.000,Variant 2,2
55,6,2011/11/21 17:21:23.000,Variant 2,2
56,1,2012/01/30 20:32:58.000,Variant 4,4
56,6,2012/01/30 20:33:23.000,Variant 4,4
59,1,2012/03/28 20:28:37.000,Variant 6,6
59,8,2012/03/28 20:28:47.000,Variant 6,6
59,6,2012/03/28 23:32:57.000,Variant 6,6
59,6,2012/03/28 23:32:57.000,Variant 6,6
60,1,2011/04/06 23:35:49.000,Variant 3,3
60,8,2011/04/06 23:36:04.000,Variant 3,3
60,9,2011/04/07 23:41:23.000,Variant 3,3
60,8,2011/04/13 16:49:14.000,Variant 3,3
60,6,2011/04/13 16:49:22.000,Variant 3,3
61,1,2011/09/16 15:04:39.000,Variant 1,1
61,8,2011/09/16 15:18:12.000,Variant 1,1
61,6,2011/09/16 23:04:46.000,Variant 1,1
62,1,2012/05/28 23:16:47.000,Variant 4,4
62,6,2012/05/28 23:18:27.000,Variant 4,4
64,1,2011/04/14 23:54:28.000,Variant 51,51
64,1,2011/04/14 23:54:46.000,Variant 51,51
64,9,2011/04/15 18:41:19.000,Variant 51,51
64,8,2011/04/27 18:30:04.000,Variant 51,51
64,9,2011/04/27 18:30:13.000,Variant 51,51
64,8,2011/05/06 17:42:13.000,Variant 51,51
64,6,2011/05/06 17:42:28.000,Variant 51,51
66,1,2012/06/26 16:46:53.000,Variant 1,1
66,8,2012/06/26 16:47:39.000,Variant 1,1
66,6,2012/06/26 21:05:58.000,Variant 1,1
67,1,2010/12/31 00:03:15.000,Variant 1,1
67,8,2011/01/11 17:40:08.000,Variant 1,1
67,6,2011/01/13 20:45:18.000,Variant 1,1
68,1,2012/04/11 22:09:22.000,Variant 1,1
